T,P,vf,vfg,vg,uf,ufg,ug,hf,hfg,hg,sf,sfg,sg
32.0,0.047480444085362776,0.0010049655203524489,29.604566580539306,29.605571546059657,134.12470685064181,2285.180767382968,2419.30547423361,134.12947847151736,2425.744564550223,2559.8740430217404,0.4643567669595403,7.949351347938826,8.413708114898366
33.0,0.050232451179752134,0.001005293811858494,28.072119341288225,28.073124635100083,138.3022820995211,2282.3601165081054,2420.6623986076265,138.30733193670312,2423.3732532903996,2561.6805852271027,0.47802462463750484,7.915640217402073,8.393664842039577
34.0,0.05312180577778238,0.0010056310731251631,26.629749722545842,26.630755353618966,142.47944591279338,2279.5384486423773,2422.0178945551706,142.48478800659905,2421.000488261754,2563.485276268353,0.49164656940058515,7.882143863010828,8.373790432411413
35.0,0.05615417187669817,0.0010059771598373464,25.271585265690717,25.272591242850556,146.65625614891906,2276.7156711215994,2423.3719272705184,146.6619051303005,2418.6261657362775,2565.288070866578,0.5052230878222335,7.8488598571927595,8.354082945014992
36.0,0.05933539201740588,0.0010063319322943351,23.992171511645147,23.993177843577442,150.83276869843576,2273.8916930739088,2424.7244617723445,150.8387398083396,2416.2501836287393,2567.088923437079,0.5187546553722435,7.815785809098827,8.33454046447107
38.0,0.06616867838166382,0.0010070669985205126,21.64967818830518,21.650685255303703,159.1851140124145,2268.239781397322,2427.4248954097366,159.19177764157757,2411.492841065765,2570.6846187073425,0.5456847836343734,7.750258204453253,8.295942988087626
40.0,0.07367210961489352,0.0010078352450709673,19.565837690486543,19.566845525731615,167.5368872779327,2262.58202531218,2430.118912590113,167.54431221272534,2406.7276795744037,2574.271991787129,0.5724405337827778,7.685542643536853,8.25798317731963
45.0,0.09572172767472015,0.001009894920754615,15.290976821918877,15.29198671683963,188.41617368115658,2248.4078362805813,2436.824009961738,188.4258405697219,2394.7757085568264,2583.2015491265483,0.6385889216119929,7.527190657926971,8.165779579538963
50.0,0.12322901982176057,0.0010121430761650548,12.056867532015582,12.057879675091748,209.2990405695,2234.1836888709076,2443.4827294404076,209.31151310930545,2382.759286020688,2592.0707991299932,0.7037169653115414,7.373539487286401,8.077256452597942
55.0,0.15725565460266755,0.00101456902293409,9.587393409134451,9.588407978157385,230.18930338301288,2219.9012423653858,2450.0905457483987,230.2052580544605,2370.6684253353487,2600.8736833898092,0.7678677272113617,7.224343820449511,7.992211547660872
60.0,0.19900968971668867,0.0010171642215879352,7.685097552201624,7.686114716423212,251.08992096978545,2205.552999212723,2456.6429201825085,251.11016352322986,2358.4938874403488,2609.6040509635786,0.831079725746442,7.079375316962308,7.910455042708749
